Jose,Pinto,15/09/1984,josep@gmail.com,9010
Juan,Niño,19/10/1999,juanniñ@gmail.com,3050
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,2010
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,3913
Diego,Navarrete,31/08/1993,diegonav@gmail.com,2231
Jose,Pinto,15/09/1984,josep@gmail.com,234.3
Juan,Niño,19/10/1999,juanniñ@gmail.com,-1035.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-2304.7
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-3574.2
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-4843.7
Jose,Pinto,15/09/1984,josep@gmail.com,-6113.2
Juan,Niño,19/10/1999,juanniñ@gmail.com,-7382.7
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-8652.2
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-9921.7
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-11191.2
Jose,Pinto,15/09/1984,josep@gmail.com,-12460.7
Juan,Niño,19/10/1999,juanniñ@gmail.com,-13730.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-14999.7
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-16269.2
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-17538.7
Jose,Pinto,15/09/1984,josep@gmail.com,-18808.2
Juan,Niño,19/10/1999,juanniñ@gmail.com,-20077.7
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-21347.2
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-22616.7
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-23886.2
Jose,Pinto,15/09/1984,josep@gmail.com,-25155.7
Juan,Niño,19/10/1999,juanniñ@gmail.com,-26425.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-27694.7
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-28964.2
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-30233.7
Jose,Pinto,15/09/1984,josep@gmail.com,-31503.2
Juan,Niño,19/10/1999,juanniñ@gmail.com,-32772.7
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-34042.2
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-35311.7
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-36581.2
Jose,Pinto,15/09/1984,josep@gmail.com,-37850.7
Juan,Niño,19/10/1999,juanniñ@gmail.com,-39120.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-40389.7
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-41659.2
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-42928.7
Jose,Pinto,15/09/1984,josep@gmail.com,-44198.2
Juan,Niño,19/10/1999,juanniñ@gmail.com,-45467.7
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-46737.2
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-48006.7
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-49276.2
Jose,Pinto,15/09/1984,josep@gmail.com,-50545.7
Juan,Niño,19/10/1999,juanniñ@gmail.com,-51815.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-53084.7
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-54354.2
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-55623.7
Jose,Pinto,15/09/1984,josep@gmail.com,-56893.2
Juan,Niño,19/10/1999,juanniñ@gmail.com,-58162.7
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-59432.2
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-60701.7
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-61971.2
Jose,Pinto,15/09/1984,josep@gmail.com,-63240.7
Juan,Niño,19/10/1999,juanniñ@gmail.com,-64510.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-65779.7
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-67049.2
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-68318.7
Jose,Pinto,15/09/1984,josep@gmail.com,-69588.2
Juan,Niño,19/10/1999,juanniñ@gmail.com,-70857.7
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-72127.2
Nani,Rodriguez,01/07/1985,nanirodri@gmail.com,-73396.7
Diego,Navarrete,31/08/1993,diegonav@gmail.com,-74666.2
Jose,Pinto,15/09/1984,josep@gmail.com,-75935.7
Juan,Niño,19/10/1999,juanniñ@gmail.com,-77205.2
Alejandra,Becerra,23/12/2000,alejabec@gmail.com,-78474.7
